ParticipantID,SPEAKER_ID,Manipulation_Type,Long_Term_Attractive_F0,Long_Term_Attractive_VTL,Short_Term_Attractive_F0,Short_Term_Attractive_VTL
61,3,0,3,7,5,8
61,4,0,5,6,8,8
61,1,1,3,1,1,1
61,2,1,6,4,5,4
61,3,1,2,1,6,1
61,4,1,4,3,4,3
10,1,0,1,1,4,3
10,2,0,5,1,7,1
10,3,0,9,7,9,8
10,4,0,5,3,9,5
10,1,1,1,1,1,1
10,2,1,1,2,1,4
10,3,1,7,5,8,3
10,4,1,6,7,3,8
47,1,0,4,3,7,7
47,2,0,5,3,8,6
47,3,0,7,2,6,7
47,4,0,6,2,7,2
47,1,1,1,5,3,2
47,2,1,2,4,4,4
47,3,1,7,3,8,1
47,4,1,4,5,6,3
85,1,0,4,7,2,8
85,2,0,7,8,9,8
85,3,0,9,9,8,9
85,4,0,9,9,9,9
85,1,1,4,3,3,2
85,2,1,2,2,3,2
85,3,1,9,2,2,5
85,4,1,8,8,8,5
63,1,0,6,9,6,7
63,2,0,5,8,7,7
63,3,0,7,7,8,6
63,4,0,6,7,7,7
63,1,1,5,6,5,4
63,2,1,5,9,4,8
63,3,1,5,5,5,6
63,4,1,4,7,5,6
14,1,0,5,1,5,1
14,2,0,9,1,9,1
14,3,0,3,2,3,2
14,4,0,1,1,6,1
14,1,1,5,1,5,1
14,2,1,9,1,7,1
14,3,1,5,1,6,2
14,4,1,2,1,5,1
36,1,0,4,2,2,2
36,2,0,5,1,2,2
36,3,0,6,5,7,2
36,4,0,6,3,4,4
36,1,1,3,2,2,1
36,2,1,2,5,4,3
36,3,1,2,6,6,2
36,4,1,3,6,3,6
23,1,0,2,1,2,1
23,2,0,2,2,1,1
23,3,0,9,5,8,5
23,4,0,9,6,8,9
23,1,1,3,1,6,2
23,2,1,3,2,1,8
23,3,1,7,4,8,7
23,4,1,8,4,7,8
80,1,0,4,3,6,7
80,2,0,5,1,7,2
80,3,0,3,4,2,8
80,4,0,4,2,7,8
80,1,1,3,1,5,1
80,2,1,2,1,5,1
80,3,1,5,1,5,1
80,4,1,3,1,3,3
67,1,0,9,5,9,5
67,2,0,5,9,9,5
67,3,0,9,9,9,5
67,4,0,9,5,9,5
67,1,1,5,1,9,1
67,2,1,5,1,5,1
67,3,1,5,1,9,1
67,4,1,5,1,5,1
57,1,0,4,6,9,1
57,2,0,8,9,9,8
57,3,0,9,9,8,8
57,4,0,4,9,8,9
57,1,1,1,1,2,1
57,2,1,2,1,8,2
57,3,1,3,2,7,1
57,4,1,5,1,6,4
65,1,0,8,1,8,5
65,2,0,8,6,5,6
65,3,0,8,6,7,7
65,4,0,7,6,1,7
65,1,1,1,3,1,5
65,2,1,1,8,1,1
65,3,1,1,1,1,1
65,4,1,1,1,1,1
